"","SpeciesBinomial","SourceList"
"15963","Nevskia terrae","29"
"15964","Clostridium cylindrosporum","29"
"15965","Caenimonas terrae","29"
"15966","Methylogaea oryzae","29"
"15967","Syntrophus buswellii","29"
"15968","Aureimonas altamirensis","29"
"15969","Zavarzinia compransoris","29"
"15970","Desulfosporosinus meridiei","29"
"15971","Wohlfahrtiimonas chitiniclastica","29"
"15972","Haloaleurodiscus mangrovei","29"
"15973","Gloiocephala aquatica","29"
"15974","Sandaracinus amylolyticus","29"
"15975","Oxalobacter vibrioformis","29"
"15976","Pseudonocardia petroleophila","29"
"15977","Hylemonella gracilis","29"
"15978","Tepidibacter thalassicus","29"
"15979","Euglypha rotunda","29"
"15980","Hirschia maritima","29"
"15981","Acanthopleuribacter pedis","29"
"15982","Paraburkholderia tropica","29"
"15983","Anaerobacterium chartisolvens","29"
"15984","Limnochorda pilosa","29"
"15985","Aggregicoccus edonensis","29"
"15986","Holophaga foetida","29"
"15987","Mycobacterium tuberculosis","29"
"15988","Acidibacter ferrireducens","29"
"15989","Pseudomonas fluorescens","(29, 3)"
"15990","Advenella mimigardefordensis","29"
"15991","Caulobacter zeae","29"
"15992","Amorphus coralli","29"
"15993","Comamonas aquatica","29"
"15994","Bacillus cereus","29"
"15995","Aneurinibacillus danicus","29"
"15996","Dissulfuribacter thermophilus","29"
"15997","Terrimonas rhizosphaerae","29"
"15998","Niastella vici","29"
"15999","Minicystis rosea","29"
"16000","Luteitalea pratensis","29"
"16001","Georgfuchsia toluolica","29"
"16002","Paenibacillus chartarius","29"
"16003","Arthrobacter agilis","29"
"16004","Flavobacterium glaciei","29"
"16005","Aspergillus flavus","29"
"16006","Massilia timonae","29"
"16007","Desulfomonile limimaris","29"
"16008","Pseudomonas stutzeri","29"
"16009","Kangiella marina","29"
"16010","Saccharopolyspora rectivirgula","29"
"16011","Arthrobacter pascens","29"
"16012","Novosphingobium barchaimii","29"
"16013","Methylophilus methylotrophus","29"
"16014","Methylomicrobium agile","29"
"16015","Pseudomonas chlororaphis","29"
"16016","Gemmatimonas phototrophica","29"
"16017","Bacillus nealsonii","29"
"16018","Leptolinea tardivitalis","29"
"16019","Archaeorhizomyces finlayi","29"
"16020","Filomicrobium fusiforme","29"
"16021","Sphaerotilus natans","29"
"16022","Yersinia frederiksenii","29"
"16023","Clostridium homopropionicum","29"
"16024","Patulibacter medicamentivorans","29"
"16025","Vermamoeba vermiformis","29"
"16026","Streptomyces thermoautotrophicus","29"
"16027","Sphingopyxis macrogoltabida","29"
"16028","Clostridium luticellarii","29"
"16029","Flavobacterium lacus","29"
"16030","Chryseobacterium antarcticum","29"
"16031","Paenibacillus macquariensis","29"
"16032","Parviterribacter multiflagellatus","29"
"16033","Arenimonas daechungensis","29"
"16034","Clostridium paraputrificum","29"
"16035","Ensifer adhaerens","29"
"16036","Acinetobacter baumannii","29"
"16037","Aggregatibacter aphrophilus","29"
"16038","Sorosphaerula viticola","29"
"16039","Noviherbaspirillum canariense","29"
"16040","Blastochloris viridis","29"
"16041","Aquicella lusitana","29"
"16042","Lysinibacillus sphaericus","29"
"16043","Fonticella tunisiensis","29"
"16044","Pseudomonas plecoglossicida","29"
"16045","Desulfotomaculum ferrireducens","29"
"16046","Cellulosibacter alkalithermophilus","29"
"16047","Aureimonas phyllosphaerae","29"
"16048","Streptomyces griseus","29"
"16049","Bacillus licheniformis","(29, 2)"
"16050","Nocardioides humi","29"
"16051","Bacillus muralis","29"
"16052","Coleophora simulans","29"
"16053","Adaina montanus","29"
"16054","Gnypeta nigrella","29"
"16055","Cryptomyzus galeopsidis","29"
"16056","Platysenta videns","(29, 5)"
"16057","Distigmoptera borealis","29"
"16058","Xenolechia velatella","29"
"16059","Mydaea affinis","29"
"16060","Atheta formicaensis","29"
"16061","Desmometopa sordida","29"
"16062","Illinoia liriodendri","29"
"16063","Agapetus pinatus","29"
"16064","Psylla betulae","29"
"16065","Cordilura ontario","29"
"16066","Terrilimosina schmitzi","29"
"16067","Limnephilus sericeus","29"
"16068","Chrysops cincticornis","29"
"16069","Corynoptera cursor","29"
"16070","Cheilosia rita","29"
"16071","Allognosta fuscitarsis","(29, 5)"
"16072","Gymnopternus nigricomus","29"
"16073","Enallagma cyathigerum","29"
"16074","Argyra robusta","(29, 5)"
"16075","Diplotoxa diplotoxoides","29"
"16076","Atheta aemula","29"
"16077","Atrichopogon levis","29"
"16078","Oxypoda amica","29"
"16079","Cortinarius umbrinolens","29"
"16080","Coleophora affiliatella","29"
"16081","Alloperla chloris","29"
"16082","Loxostege sticticalis","(29, 5)"
"16083","Dialytes ulkei","29"
"16084","Cossonus platalea","29"
"16085","Hybomitra cincta","29"
"16086","Oxybelus subulatus","29"
"16087","Stephostethus liratus","29"
"16088","Crypturgus borealis","29"
"16089","Rhagio cinctus","29"
"16090","Stratiomys badia","(29, 5)"
"16091","Ormiscus saltator","29"
"16092","Hemicoelus umbrosus","29"
"16093","Aulonothroscus constrictor","(29, 5)"
"16094","Microclytus compressicollis","29"
"16095","Microgoes oculatus","(29, 5)"
"16096","Mycetochara binotata","29"
"16097","Draeculacephala antica","29"
"16098","Attagenus fasciatus","29"
"16099","Dichomeris ochripalpella","29"
"16100","Euastrum binale","(29, 17, 19)"
"16101","Coptotriche citrinipennella","29"
"16102","Stenolophus lineola","(29, 6)"
"16103","Arge humeralis","29"
"16104","Laetulonthus laetulus","29"
"16105","Leucothoe fontanesiana","29"
"16106","Callidium violaceum","(29, 5)"
"16107","Trichoderma sulphureum","29"
"16108","Platycerus quercus","(29, 5)"
"16109","Telephanus velox","29"
"16110","Brochymena quadripustulata","29"
"16111","Telamona monticola","29"
"16112","Grammonota trivittata","(29, 7)"
"16113","Sciodrepoides watsoni","29"
"16114","Shannonomyia lenta","(29, 5)"
"16115","Catocala insolabilis","29"
"16116","Perlinella ephyre","29"
"16117","Nonionellina labradorica","29"
"16118","Agyneta amersaxatilis","(29, 7)"
"16119","Poeciloneta theridiformis","(29, 7)"
"16120","Araneus nashoba","(29, 7)"
"16121","Telethusia ovalis","29"
"16122","Symmerus uncata","29"
"16123","Coryphium nigrum","29"
"16124","Orthacheta hirtipes","29"
"16125","Polyblastus tibialis","(29, 5)"
"16126","Tetropium schwarzianum","29"
"16127","Galerucella nymphaeae","(29, 5, 17, 19)"
"16128","Pelseneeria stimpsonii","29"
"16129","Pisidium obtusale","29"
"16130","Margarites argentatus","29"
"16131","Hilara seriata","29"
"16132","Anthonomus simiolus","29"
"16133","Leiostegium quadratus","29"
"16134","Styloctetor compar","(29, 7, 7)"
"16135","Fazia forreri","29"
"16136","Agathidium mollinum","29"
"16137","Cystophora cristata","(29, 30)"
"16138","Menetus dilatatus","(29, 17, 19)"
"16139","Idotea marina","29"
"16140","Bithynia tentaculata","29"
"16141","Ferrissia californica","29"
"16142","Frigidoalvania brychia","29"
"16143","Philodromus mineri","(29, 7)"
"16144","Trichopetalum lunatum","29"
"16145","Ptilohyale littoralis","29"
"16146","Halecium beanii","(29, 5)"
"16147","Plumatella coralloides","29"
"16148","Bibio vestitus","29"
"16149","Hyptiotes cavatus","(29, 5, 7)"
"16150","Halisarca dujardinii","29"
"16151","Carabodes cochleaformis","29"
"16152","Floricomus rostratus","(29, 7)"
"16153","Plumatella recluse","29"
"16154","Argyresthia thuiella","(29, 5)"
"16155","Orfelia fascipennis","29"
"16156","Aporrectodea caliginosa","29"
"16157","Austrolimnophila unica","(29, 5)"
"16158","Tipula fragilis","(29, 5)"
"16159","Tenuiphantes sabulosus","(29, 7)"
"16160","Goniobasis livescens","29"
"16161","Dasypus novemcinctus","29"
"16162","Hiatella rugosa","29"
"16163","Platyceras chapmani","29"
"16164","Lithentomum harttii","29"
"16165","Isograptus caduceus","29"
"16166","Orthonota parallela","29"
"16167","Hyolithes communis","29"
"16168","Cyrtoceras dictys","29"
"16169","Platyceras hebes","29"
"16170","Tipula broweri","29"
"16171","Anticheta johnsoni","29"
"16172","Aleuroplatus epigaeae","29"
"16173","Calystegia soldanella","29"
"16174","Pyrausta subsequalis","(29, 5)"
"16175","Melanoplus fasciatus","(29, 5)"
"16176","Anacampsis niveopulvella","29"
"16177","Erythridula lawsoniana","29"
"16178","Cairina moschata","29"
"16179","Cosmotettix delector","29"
"16180","Muscari botryoides","29"
"16181","Phyllonorycter nipigon","29"
"16182","Geraeus picumnus","29"
"16183","Furia ithacensis","29"
"16184","Platycodon grandiflorus","29"
"16185","Bolinopsis infundibulum","(29, 5)"
"16186","Phalonidia memoranda","29"
"16187","Nymphaea nouchali","29"
"16188","Camponotus laevigatus","29"
"16189","Serica georgiana","29"
"16190","Strophomena leda","29"
"16191","Buthotrephis gracilis","29"
"16192","Paramuricea placomus","29"
"16193","Primnoa resedaeformis","29"
"16194","Anthothela grandiflora","29"
"16195","Vazella pourtalesii","29"
"16196","Paragorgia arborea","29"
"16197","Paramuricea grayi","29"
"16198","Hylaeus saniculae","29"
"16199","Corythucha juglandis","(29, 5)"
"16200","Melandrya striata","29"
"16201","Euonymus latifolius","29"
"16202","Euhexomyza schineri","29"
"16203","Cuterebra emasculator","29"
"16204","Phyllonorycter fitchella","29"
"16205","Anthrax georgicus","29"
"16206","Calligrapha ostryae","29"
"16207","Serpula himantioides","29"
"16208","Cryptophilus obliteratus","29"
"16209","Varneria postremella","(29, 10)"
"16210","Paramyiolia nigricornis","29"
"16211","Rhynchaenus niger","29"
"16212","Ampedus protervus","29"
"16213","Phymatodes aereus","29"
"16214","Mompha unifasciella","(29, 5)"
"16215","Lactarius mucidus","29"
"16216","Taxodium distichum","29"
"16217","Urtica urens","(29, 5)"
"16218","Isatis tinctoria","29"
"16219","Campanula punctata","29"
"16220","Schistoglossa carexiana","29"
"16221","Lactarius argillaceifolius","29"
"16222","Acarospora tuckerae","29"
"16223","Lecanora grantii","29"
"16224","Pseudephebe pubescens","29"
"16225","Bacidia rosella","29"
"16226","Ramalina pollinaria","(29, 5)"
"16227","Ramalina polymorpha","29"
"16228","Parmelina quercina","29"
"16229","Capitophorus elaeagni","29"
"16230","Phaneta formosana","29"
"16231","Epuraea erichsoni","29"
"16232","Cryptarcha concinna","29"
"16233","Colopterus truncatus","(29, 5)"
"16234","Epuraea rufida","29"
"16235","Brachypterus urticae","29"
"16236","Epuraea truncatella","29"
"16237","Epuraea aestiva","29"
"16238","Lobiopa undulata","29"
"16239","Carpophilus brachypterus","29"
"16240","Carpophilus sayi","29"
"16241","Heterhelus sericans","29"
"16242","Epuraea peltoides","29"
"16243","Heterhelus abdominalis","29"
"16244","Omosita discoidea","29"
"16245","Epuraea horni","29"
"16246","Cychramus adustus","29"
"16247","Epuraea obtusicollis","29"
"16248","Poa alpina","29"
"16249","Stylodrilus heringianus","(29, 17, 19)"
"16250","Renocera longipes","29"
"16251","Listronotus sparsus","29"
"16252","Spartiniphaga panatela","29"
"16253","Ocydromia glabricula","(29, 5)"
"16254","Goeldichironomus devineyae","29"
"16255","Rhyacophila nigrita","(29, 17, 19)"
"16256","Sorex arcticus","29"
"16257","Eupatorium compositifolium","29"
"16258","Marpissa lineata","(29, 7)"
"16259","Stomodes gyrosicollis","29"
"16260","Pseudoinonotus dryadeus","29"
"16261","Blastodacna atra","29"
"16262","Cosmarium contractum","(29, 17, 19)"
"16263","Drosera eloisiana","29"
"16264","Triplax macra","29"
"16265","Spilopteron occiputale","29"
"16266","Frutidella caesioatra","29"
"16267","Porina glaucocinerea","29"
"16268","Protomicarea limosa","29"
"16269","Protothelenella corrosa","29"
"16270","Schaereria cinereorufa","29"
"16271","Porpidia degelii","29"
"16272","Helocarpon crassipes","29"
"16273","Toninia squalescens","29"
"16274","Pertusaria rhexostoma","29"
"16275","Micarea marginata","29"
"16276","Lissonota exilis","29"
"16277","Disonycha triangularis","29"
"16278","Hedychrum violaceum","29"
"16279","Agonum aeruginosum","(29, 6)"
"16280","Platydema teleops","29"
"16281","Vespula vulgaris","(29, 5)"
"16282","Banchus canadensis","29"
"16283","Tropidia quadrata","(29, 5)"
"16284","Thereva flavicauda","29"
"16285","Nicrophorus marginatus","29"
"16286","Sacodiscus ovalis","29"
"16287","Doropygus demissus","29"
"16288","Myicola metisiensis","29"
"16289","Skyttea insignis","29"
"16290","Proclossiana eunomia","29"
"16291","Grania longiducta","29"
"16292","Marionina welchi","29"
"16293","Bothriomolus balticus","29"
"16294","Pirodrilus parviatriatus","29"
"16295","Palaeoniscus alberti","29"
"16296","Dolerus asper","29"
"16297","Metarranthis mestusata","29"
"16298","Ceutorhynchus obstrictus","29"
"16299","Pegomya geniculata","29"
"16300","Mompha sexstrigella","29"
"16301","Lilium martagon","29"
"16302","Schistoglossa sphagnorum","29"
"16303","Delia radicum","29"
"16304","Teuchocnemis lituratus","29"
"16305","Cordilura variabilis","(29, 5)"
"16306","Hybomitra minuscula","29"
"16307","Callipterinella calliptera","29"
"16308","Leuctra tenuis","(29, 5, 17, 19)"
"16309","Diapria nigricornis","29"
"16310","Donacaula longirostrallus","29"
"16311","Scambus nigricans","29"
"16312","Macrocentrus marginator","29"
"16313","Cortinarius centrirufus","29"
"16314","Muscari latifolium","29"
"16315","Fusarium lateritium","29"
"16316","Geopora sepulta","29"
"16317","Melanoleuca fumosolutea","29"
"16318","Plagiognathus tumidifrons","29"
"16319","Philodina megalotrocha","(29, 5)"
"16320","Melanoleuca gravis","29"
"16321","Paraphlepsius varispinus","29"
"16322","Hydriomena transfigurata","(29, 10)"
"16323","Lepidostoma ontario","29"
"16324","Macrosiphum euphorbiae","(29, 5)"
"16325","Ectopria nervosa","(29, 17, 19)"
"16326","Listeria monocytogenes","29"
"16327","Chaetoceros concavicornis","29"
"16328","Homoneura incerta","(29, 5)"
"16329","Ancylis carbonana","(29, 5)"
"16330","Cratichneumon viator","29"
"16331","Hydnum cuspidatum","29"
"16332","Polycentropus iculus","29"
"16333","Bacillus pumilus","29"
"16334","Amplicephalus osborni","29"
"16335","Alonella nana","29"
"16336","Nitzschia fontifuga","29"
"16337","Phaneta tomonana","(29, 10)"
"16338","Sthenopis auratus","(29, 10)"
"16339","Thalassiosira decipiens","29"
"16340","Euxoa campestris","29"
"16341","Isoperla cotta","29"
"16342","Gymnopternus cuneicornis","29"
"16343","Araneus guttulatus","(29, 7)"
"16344","Hapleginella conicola","29"
"16345","Tachina algens","29"
"16346","Hypocoena defecta","29"
"16347","Psychomyia nomada","29"
"16348","Homoneura phildelphica","29"
"16349","Eupithecia fletcherata","(29, 5)"
"16350","Ceutorhynchus omissus","29"
"16351","Fannia coracina","29"
"16352","Cyclolabus alpinus","29"
"16353","Gammarus hyalelloides","29"
"16354","Ormosia nimbipennis","(29, 5)"
"16355","Amarochara duryi","29"
"16356","Lithurgopsis littoralis","29"
"16357","Agrilus pensus","(29, 5)"
"16358","Oemopteryx contorta","29"
"16359","Isoperla zuelligi","29"
"16360","Isoperla dicala","(29, 17, 19)"
"16361","Isoperla slossonae","29"
"16362","Macropis ciliata","29"
"16363","Bryum dichotomum","29"
"16364","Grimmia reflexidens","29"
"16365","Grimmia trichophylla","29"
"16366","Torrentaria aquatica","29"
"16367","Orthotrichum elegans","29"
"16368","Brachythecium turgidum","29"
"16369","Sciaromium lescurii","29"
"16370","Astragalus canadensis","29"
"16371","Botrychium lunaria","(29, 5)"
"16372","Selaginella selaginoides","(29, 5)"
"16373","Potentilla intermedia","29"
"16374","Carex praegracilis","(29, 5)"
"16375","Silybum marianum","29"
"16376","Phedimus hybridus","29"
"16377","Stellaria palustris","29"
"16378","Crataegus scabrida","29"
"16379","Actaea ludovici","29"
"16380","Carduus nutans","29"
"16381","Helianthus giganteus","(29, 5)"
"16382","Juncus longistylis","29"
"16383","Equisetum ferrissii","29"
"16384","Verbascum virgatum","29"
"16385","Stuckenia filiformis","(29, 5)"
"16386","Populus smithii","29"
"16387","Poa secunda","(29, 5)"
"16388","Amelanchier quintimartii","29"
"16389","Rosa micrantha","(29, 5)"
"16390","Aconitum bicolor","29"
"16391","Geum catlingii","29"
"16392","Hippuris tetraphylla","29"
"16393","Arabis alpina","29"
"16394","Rumex maritimus","29"
"16395","Trifolium pannonicum","29"
"16396","Crataegus intricata","29"
"16397","Sabulina macra","29"
"16398","Huperzia appalachiana","29"
"16399","Tagetes erecta","29"
"16400","Amaranthus tuberculatus","(29, 5)"
"16401","Mentha rotundifolia","29"
"16402","Malva thuringiaca","29"
"16403","Carex connectens","29"
"16404","Sedum sexangulare","29"
"16405","Glyceria maxima","(29, 14)"
"16406","Selaginella eclipes","29"
"16407","Floerkea proserpinacoides","29"
"16408","Solanum sarachoides","29"
"16409","Solidago rigida","29"
"16410","Ambrosia helenae","29"
"16411","Nonea versicolor","29"
"16412","Lonicera minutiflora","29"
"16413","Geum macneillii","29"
"16414","Xanthium chinense","29"
"16415","Stachys tenuifolia","29"
"16416","Potentilla inclinata","29"
"16417","Juncus decipiens","29"
"16418","Beckmannia syzigachne","(29, 5)"
"16419","Lolium giganteum","29"
"16420","Erysimum cheiri","29"
"16421","Erysimum hieraciifolium","29"
"16422","Malva verticillata","(29, 5)"
"16423","Juncus ranarius","29"
"16424","Solidago ptarmicoides","29"
"16425","Astragalus cicer","29"
"16426","Populus jackii","29"
"16427","Juncus stygius","(29, 5)"
"16428","Narcissus poeticus","(29, 5)"
"16429","Gymnocarpium brittonianum","29"
"16430","Cymbalaria muralis","29"
"16431","Althaea ficifolia","29"
"16432","Sedum annuum","29"
"16433","Diphasiastrum habereri","29"
"16434","Cakile maritima","29"
"16435","Leersia virginica","(29, 5)"
"16436","Populus tremula","29"
"16437","Lysimachia commixta","29"
"16438","Glyceria ottawensis","29"
"16439","Juniperus scopulorum","29"
"16440","Sedum villosum","29"
"16441","Achillea borealis","29"
"16442","Hieracium robinsonii","(29, 5)"
"16443","Cystopteris montana","29"
"16444","Sorghum halepense","29"
"16445","Polystichum lonchitis","29"
"16446","Tulipa gesneriana","29"
"16447","Centaurea paniculata","29"
"16448","Aristolochia clematitis","29"
"16449","Rumex occidentalis","(29, 5)"
"16450","Oenothera angustissima","29"
"16451","Potentilla indica","29"
"16452","Vicia hirsuta","(29, 5)"
"16453","Rumex stenophyllus","29"
"16454","Carex praticola","(29, 5)"
"16455","Medicago varia","29"
"16456","Amsinckia menziesii","(29, 5)"
"16457","Plantago uliginosa","29"
"16458","Festuca prolifera","(29, 5)"
"16459","Artemisia abrotanum","(29, 5)"
"16460","Artemisia globularia","29"
"16461","Artemisia glomerata","29"
"16462","Gentiana prostrata","29"
"16463","Dodecatheon frigidum","29"
"16464","Erigeron humilis","29"
"16465","Gentiana frigida","29"
"16466","Packera cymbalaria","29"
"16467","Gentiana glauca","29"
"16468","Eritrichium nanum","29"
"16469","Porphyra lanceolata","29"
"16470","Ceramium rubrum","(29, 28)"
"16471","Pseudendoclonium fucicola","29"
"16472","Ulothrix subflaccida","29"
"16473","Ectocarpus acutus","29"
"16474","Leathesia difformis","29"
"16475","Porphyra leucostricta","29"
"16476","Streblonema pacificum","29"
"16477","Ceramium areschougii","29"
"16478","Neodilsea integra","29"
"16479","Diploneis smithi","29"
"16480","Trichoglossum velutipes","29"
"16481","Colaconema attenuatum","29"
"16482","Pringsheimiella scutata","29"
"16483","Telonema subtile","29"
"16484","Pleurasiga minima","29"
"16485","Octadecabacter temperatus","(29, 3)"
"16486","Paracineta limbata","29"
"16487","Calliacantha longicaudata","29"
"16488","Leptocylindrus minimus","29"
"16489","Protoperidinium leonis","29"
"16490","Leprotintinnus pellucidus","29"
"16491","Heterosigma akashiwo","29"
"16492","Stephanopyxis turris","29"
"16493","Noctiluca scintillans","29"
"16494","Lewinella cohaerens","29"
"16495","Calliacantha natans","29"
"16496","Fretibacter rubidus","29"
"16497","Pleurasiga reynoldsii","29"
"16498","Bicosta minor","29"
"16499","Tintinnus pectinis","29"
"16500","Rhizosolenia shrubsolei","29"
"16501","Ebria tripartita","29"
"16502","Abollifer globosa","29"
"16503","Litorimonas cladophorae","29"
"16504","Haliphthoros milfordensis","29"
"16505","Cryptomonas obovoidea","29"
"16506","Atkinsiella dubia","29"
"16507","Ephelota mammillata","29"
"16508","Protoperidinium bipes","29"
"16509","Nitzschia supralitorea","(29, 17, 19)"
"16510","Licmophora gracilis","(29, 17, 19)"
"16511","Enigmocoma acinetarum","29"
"16512","Leucocryptos marina","29"
"16513","Golubevia pallescens","29"
"16514","Urospora ovalis","29"
"16515","Protoperidinium monovelum","29"
"16516","Thaumatomastix salina","29"
"16517","Botryococcus braunii","(29, 17, 19)"
"16518","Pleonexes gammaroides","29"
"16519","Micrura leidyi","29"
"16520","Mus spretus","29"
"16521","Formica lugubris","29"
"16522","Ptychostomum inclinatum","29"
"16523","Pseudopanurgus aestivalis","29"
"16524","Lasioglossum heterognathum","29"
"16525","Triepeolus obliteratus","29"
"16526","Lasioglossum oceanicum","29"
"16527","Colletes aestivalis","29"
"16528","Colletes consors","29"
"16529","Sphecodes cressonii","29"
"16530","Nomada composita","29"
"16531","Nomada illinoensis","29"
"16532","Lasioglossum novascotiae","29"
"16533","Colletes hyalinus","29"
"16534","Vipera berus","29"
"16535","Ampullaceana balthica","29"
"16536","Amphiporeia virginiana","29"
"16537","Lepomis punctatus","29"
"16538","Ceratinella buna","(29, 7)"
"16539","Nesticus cellulanus","(29, 7)"
"16540","Porrhomma pallidum","(29, 7)"
"16541","Cyrtopogon lyratus","29"
"16542","Rhamphomyia rustica","(29, 5)"
"16543","Crataegus pringlei","29"
"16544","Salix subsericea","29"
"16545","Phellodon melaleucus","29"
"16546","Primula cuneifolia","29"
"16547","Primula borealis","29"
"16548","Boletopsis leucomelaena","29"
"16549","Hydnellum ferrugineum","29"
"16550","Salix serissima","29"
"16551","Sarcodon scabrosus","29"
"16552","Hydnellum chrysinum","29"
"16553","Gyrodon intermedius","29"
"16554","Retiboletus retipes","29"
"16555","Iris setosa","29"
"16556","Carex demissa","29"
"16557","Lathyrus tuberosus","(29, 5)"
"16558","Cladonia abbreviatula","29"
"16559","Carex panicea","(29, 5)"
"16560","Juncus conglomeratus","29"
"16561","Persicaria robustior","(29, 5)"
"16562","Caloboletus radicans","29"
"16563","Clavicorona taxophila","29"
"16564","Helvella hispida","29"
"16565","Peziza atrovinosa","29"
"16566","Carex leporina","29"
"16567","Melilotus altissimus","29"
"16568","Suillus subluteus","29"
"16569","Boletus pseudopeckii","29"
"16570","Boletus vermiculosus","29"
"16571","Boletus miniatopallescens","29"
"16572","Boletus flammans","29"
"16573","Suillus pictus","29"
"16574","Tricholoma sulphureum","29"
"16575","Aureoboletus projectellus","29"
"16576","Suillus viscidus","29"
"16577","Agrocybe vermiflua","29"
"16578","Lactarius fuliginosus","(29, 5)"
"16579","Aspidella solitaria","29"
"16580","Festuca richardsonii","29"
"16581","Discina ancilis","29"
"16582","Peziza vesiculosa","29"
"16583","Plantago virginica","(29, 5)"
"16584","Pyronema omphalodes","29"
"16585","Alutaceodontia alutacea","29"
"16586","Silene gallica","(29, 5)"
"16587","Huperzia porophila","29"
"16588","Diplotaxis muralis","(29, 5)"
"16589","Conringia orientalis","(29, 5)"
"16590","Glyceria obtusa","(29, 5)"
"16591","Otidea grandis","29"
"16592","Physostegia intermedia","29"
"16593","Astragalus robbinsii","(29, 5)"
"16594","Tragopogon porrifolius","(29, 5)"
"16595","Boletus sensibilis","29"
"16596","Atriplex canescens","29"
"16597","Packera pseudaurea","29"
"16598","Bromus commutatus","(29, 5)"
"16599","Ventenata dubia","(29, 5)"
"16600","Hypholoma polytrichi","29"
"16601","Rosa spinosissima","(29, 5)"
"16602","Melampsora americana","29"
"16603","Melampsora abietiscaprearum","29"
"16604","Platyhypnidium riparoides","29"
"16605","Melampsora bigelowii","29"
"16606","Puccinia calcitrapae","29"
"16607","Puccinia cnici","29"
"16608","Coleosporium tussilaginis","29"
"16609","Hygrophorus amarus","29"
"16610","Eurybia sibirica","29"
"16611","Sinapis alba","(29, 5)"
"16612","Pylaisiella intricata","(29, 5)"
"16613","Malus prunifolia","(29, 5)"
"16614","Malus sylvestris","29"
"16615","Crepidotus mollis","29"
"16616","Cudonia lutea","29"
"16617","Sporobolus eatonianus","29"
"16618","Ustilago nuda","29"
"16619","Uromyces hypericifrondosi","29"
"16620","Lycopodiella prostrata","29"
"16621","Carex arctogena","29"
"16622","Chroococcus cohaerens","29"
"16623","Sargassum fluitans","29"
"16624","Conchocelis rosea","29"
"16625","Spirogyra decimina","29"
"16626","Tropidodiscus somerseti","29"
"16627","Leptaena euglypha","29"
"16628","Plethopeltis dubius","29"
"16629","Coleoloides prindlei","29"
"16630","Similipecten greenlandicus","29"
"16631","Rhagoletis mendax","29"
"16632","Xylena cineritia","(29, 5)"
"16633","Trapezonotus arenarius","(29, 5)"
"16634","Metriorrhynchomiris dislocatus","29"
"16635","Archips infumatana","29"
"16636","Grammia arge","29"
"16637","Acleris caliginosana","29"
"16638","Crambus hamella","29"
"16639","Euxoa detersa","(29, 5)"
"16640","Olethreutes valdanum","29"
"16641","Chrysops aberrans","29"
"16642","Paradiarsia littoralis","29"
"16643","Euxoa servita","29"
"16644","Poecilopsis rachelae","29"
"16645","Zeiraphera canadensis","29"
"16646","Chaetaglaea sericea","29"
"16647","Oeneis melissa","29"
"16648","Hybomitra trispila","29"
"16649","Digrammia mellistrigata","29"
"16650","Epinotia nanana","(29, 5)"
"16651","Acronicta hamamelis","(29, 5)"
"16652","Zale metatoides","29"
"16653","Anacamptodes humaria","29"
"16654","Acronicta vinnula","29"
"16655","Lycaeides melissa","29"
"16656","Eulithis destinata","29"
"16657","Grammia anna","(29, 10)"
"16658","Chaetaglaea tremula","29"
"16659","Mesothea incertata","(29, 5)"
"16660","Mormonia neogama","29"
"16661","Holomelina aurantiaca","29"
"16662","Acronicta sperata","29"
"16663","Metarranthis amyrisaria","29"
"16664","Eilema bicolor","(29, 10)"
"16665","Xystopeplus rufago","29"
"16666","Cylindera terricola","29"
"16667","Albuna pyramidalis","(29, 5)"
"16668","Speranza ribearia","29"
"16669","Depressaria radiella","29"
"16670","Anarta nigrolunata","29"
"16671","Brachylomia algens","29"
"16672","Adelges piceae","29"
"16673","Grammia speciosa","29"
"16674","Blepharita ducta","29"
"16675","Eupsilia sidus","(29, 5)"
"16676","Atalopedes campestris","29"
"16677","Plagodis fervidaria","29"
"16678","Platarctia parthenos","(29, 10)"
"16679","Brachylomia discinigra","(29, 5)"
"16680","Tabanus limbatineuris","29"
"16681","Dermestes maculatus","29"
"16682","Thera contractata","(29, 5)"
"16683","Leucania ursula","29"
"16684","Euxoa bostoniensis","29"
"16685","Synanthedon pini","29"
"16686","Pyreferra pettiti","29"
"16687","Grammia williamsii","(29, 10)"
"16688","Catocala obscura","29"
"16689","Incisalia eryphon","29"
"16690","Cucullia postera","(29, 5)"
"16691","Gnathostomula armata","29"
"16692","Ophelia verrilli","29"
"16693","Taphrocampa selenura","29"
"16694","Notholca acuminata","29"
"16695","Lecane satyrus","(29, 5)"
"16696","Cephalodella physalis","(29, 5)"
"16697","Leptolyngbya terebrans","29"
"16698","Phragmatobia lineata","(29, 10)"
"16699","Apatelodes torrefacta","29"
"16700","Caradrina meralis","29"
"16701","Xylotype capax","(29, 5)"
"16702","Oncocnemis riparia","29"
"16703","Laricobius nigrinus","29"
"16704","Hypena edictalis","29"
"16705","Coleotechnites juniperella","29"
"16706","Protagrotis niveivenosa","29"
"16707","Semioscopis merriccella","29"
"16708","Dichomeris purpureofusca","29"
"16709","Idia julia","29"
"16710","Zale curema","29"
"16711","Exoteleia pinifoliella","(29, 5)"
"16712","Hydriomena furcata","29"
"16713","Chrysops cuclux","29"
"16714","Acrobasis comptoniella","(29, 5)"
"16715","Grammia figurata","(29, 10)"
"16716","Autographa pseudogamma","29"
"16717","Zale submediana","29"
